# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Feb 20 13:06:31 2020
#
# COLUMN epic_name:      EPIC Name
# COLUMN tm_name:        2MASS Designation
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_trandep:     Transit Depth [percent]
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN pl_radj:        Candidate Radius [Jupiter radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_fppprob:     False Positive Probability
# COLUMN st_plx:         Parallax [mas]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_metfe:       Stellar Metallicity [dex]
# COLUMN st_metratio:    Metallicity Ratio
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_vsini:       Rot. Velocity V*sin(i) [km/s]
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_bj:          B-band (Johnson) [mag]
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_us:          u-band (Sloan) [mag]
# COLUMN st_gs:          g-band (Sloan) [mag]
# COLUMN st_rs:          r-band (Sloan) [mag]
# COLUMN st_is:          i-band (Sloan) [mag]
# COLUMN st_zs:          z-band (Sloan) [mag]
# COLUMN st_j2:          J-band (2MASS) [mag]
# COLUMN st_h2:          H-band (2MASS) [mag]
# COLUMN st_k2:          Ks-band (2MASS) [mag]
# COLUMN st_wise1:       WISE 3.4um [mag]
# COLUMN st_wise2:       WISE 4.6um [mag]
# COLUMN st_wise3:       WISE 12.um [mag]
# COLUMN st_wise4:       WISE 22.um [mag]
# COLUMN st_bmvj:        B-V (Johnson) [mag]
# COLUMN st_jmh2:        J-H (2MASS) [mag]
# COLUMN st_hmk2:        H-Ks (2MASS) [mag]
# COLUMN st_jmk2:        J-Ks (2MASS) [mag]
#
rowid,epic_name,tm_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_tranmid,pl_trandep,pl_trandur,pl_imppar,pl_orbincl,pl_ratdor,pl_ratror,pl_rade,pl_radj,pl_eqt,pl_fppprob,st_plx,st_dist,st_teff,st_logg,st_metfe,st_metratio,st_rad,st_vsini,st_kep,st_bj,st_vj,st_us,st_gs,st_rs,st_is,st_zs,st_j2,st_h2,st_k2,st_wise1,st_wise2,st_wise3,st_wise4,st_bmvj,st_jmh2,st_hmk2,st_jmk2
240,EPIC 201613023,2MASS J11324609+0214415,EPIC 201613023.01,K2-12 b,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180205277M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,1,0,11h32m46.09s,173.192032,+02d14m41.6s,2.244884,8.28245500,2456815.370050,,,,87.608,13.044912,0.01996,2.188,0.200,,1.000000e-04,,,5663.00,4.30,-0.110,[Fe/H],1.01,,12.137,12.990,12.258,,12.560,12.045,11.955,,10.983,10.712,10.605,10.582,10.631,10.589,8.982,0.732,0.271,0.107,0.378
241,EPIC 201613023,2MASS J11324609+0214415,EPIC 201613023.01,K2-12 b,CONFIRMED,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,CONFIRMED,,1,0,11h32m46.09s,173.192032,+02d14m41.6s,2.244884,8.28212000,2456815.373400,,,,,17.470000,,2.330,0.208,1003,1.000000e-04,,294.00,5800.00,,0.030,[Fe/H],1.01,,12.137,12.990,12.258,,12.560,12.045,11.955,,10.983,10.712,10.605,10.582,10.631,10.589,8.982,0.732,0.271,0.107,0.378
242,EPIC 201615463,2MASS J12204519+0216568,EPIC 201615463.01,K2-166 b,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,12h20m45.19s,185.188293,+02d16m56.8s,2.282436,8.52695000,2457586.763500,0.016000,0.1542000,0.4000,,11.100000,0.01240,2.190,,1140,,,,,,,,,,11.964,12.640,12.074,,12.275,11.950,11.830,,10.952,10.715,10.637,10.615,10.666,10.647,8.375,0.566,0.237,0.078,0.315
243,EPIC 201615463,2MASS J12204519+0216568,EPIC 201615463.01,K2-166 b,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180205277M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,0,12h20m45.19s,185.188293,+02d16m56.8s,2.282436,8.52721900,2457586.766830,,,,87.429,10.386036,0.01397,1.823,0.160,,1.000000e-04,,,5922.00,4.24,0.050,[Fe/H],1.20,,11.964,12.640,12.074,,12.275,11.950,11.830,,10.952,10.715,10.637,10.615,10.666,10.647,8.375,0.566,0.237,0.078,0.315
244,EPIC 201617985,2MASS J11575801+0219172,EPIC 201617985.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,11h57m58.00s,179.491653,+02d19m17.3s,2.321476,7.28076000,2456812.640500,0.129300,0.0780000,,,12.100000,0.06000,2.600,,,,,,,,,,0.40,,14.110,16.336,14.863,,15.668,14.283,13.442,,11.719,11.094,10.900,10.748,10.715,10.782,8.804,1.473,0.625,0.194,0.819
245,EPIC 201617985,2MASS J11575801+0219172,EPIC 201617985.01,,CANDIDATE,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CANDIDATE,,1,0,11h57m58.00s,179.491653,+02d19m17.3s,2.321476,7.28138000,2456812.639900,,0.0550000,,,,0.41000,17.000,1.500,,9.600000e-01,,,3784.00,4.88,,,0.40,,14.110,16.336,14.863,,15.668,14.283,13.442,,11.719,11.094,10.900,10.748,10.715,10.782,8.804,1.473,0.625,0.194,0.819
246,EPIC 201617985,2MASS J11575801+0219172,EPIC 201617985.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,0,11h57m58.00s,179.491653,+02d19m17.3s,2.321476,7.28131000,2456812.640000,0.116000,0.0545833,0.4700,,,0.03172,1.900,0.170,,,,,3748.00,,,,0.51,,14.110,16.336,14.863,,15.668,14.283,13.442,,11.719,11.094,10.900,10.748,10.715,10.782,8.804,1.473,0.625,0.194,0.819
247,EPIC 201617985,2MASS J11575801+0219172,EPIC 201617985.01,,CANDIDATE,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017arXiv170307416D/abstract target=ref>Dressing et al. 2017</a>,CANDIDATE,,1,0,11h57m58.00s,179.491653,+02d19m17.3s,2.321476,7.28116000,2456812.641000,,,,88.280,26.250000,0.03300,1.790,0.160,,5.000000e-02,,,,,,,,,14.110,16.336,14.863,,15.668,14.283,13.442,,11.719,11.094,10.900,10.748,10.715,10.782,8.804,1.473,0.625,0.194,0.819
248,EPIC 201617985,2MASS J11575801+0219172,EPIC 201617985.01,,CANDIDATE,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,CANDIDATE,,1,0,11h57m58.00s,179.491653,+02d19m17.3s,2.321476,7.28161000,2456812.636600,,,,,26.040000,,1.780,0.159,518,1.200000e-02,,111.00,3742.00,,-0.080,[Fe/H],0.49,,14.110,16.336,14.863,,15.668,14.283,13.442,,11.719,11.094,10.900,10.748,10.715,10.782,8.804,1.473,0.625,0.194,0.819
249,EPIC 201619647,2MASS J11094746+0220506,EPIC 201619647.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,11h09m47.46s,167.447739,+02d20m50.6s,2.347400,4.58328000,2456813.603300,0.152000,0.0920000,,,14.600000,0.03720,2.210,,,,,,,,,,0.55,,14.683,16.890,15.379,,16.151,14.784,14.053,,12.448,11.793,11.587,11.528,11.553,11.458,8.798,1.511,0.655,0.206,0.861
250,EPIC 201619647,2MASS J11094746+0220506,EPIC 201619647.02,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,11h09m47.46s,167.447739,+02d20m50.6s,2.347400,1.65336000,2456810.847300,0.068600,0.0670000,,,6.800000,0.02540,1.510,,,,,,,,,,0.55,,14.683,16.890,15.379,,16.151,14.784,14.053,,12.448,11.793,11.587,11.528,11.553,11.458,8.798,1.511,0.655,0.206,0.861
251,EPIC 201626686,2MASS J11174730+0227217,EPIC 201626686.01,,CANDIDATE,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CANDIDATE,,1,0,11h17m47.30s,169.447098,+02d27m21.6s,2.456006,5.28081000,2456812.353900,,0.1362100,,,,0.03280,10.900,0.970,,1.600000e-01,,,6227.00,3.68,,,3.01,,11.471,11.909,11.083,,11.744,11.443,11.354,,10.501,10.276,10.230,10.179,10.223,10.172,8.658,0.826,0.225,0.046,0.271
252,EPIC 201626686,2MASS J11174730+0227217,EPIC 201626686.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,CANDIDATE,,1,1,11h17m47.30s,169.447098,+02d27m21.6s,2.456006,5.28130579,2456817.633963,0.074000,0.1480000,,,,,,,,,,,,,,,,,11.471,11.909,11.083,,11.744,11.443,11.354,,10.501,10.276,10.230,10.179,10.223,10.172,8.658,0.826,0.225,0.046,0.271
253,EPIC 201629650,2MASS J11203732+0230097,EPIC 201629650.01,K2-13 b,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,1,0,11h20m37.33s,170.155533,+02d30m09.7s,2.502696,40.06277100,2456812.522000,0.056500,0.2587500,0.0000,,,0.02138,2.290,0.204,,,,,5508.00,,,,0.88,,12.727,13.609,12.901,,13.193,12.727,12.528,,11.571,11.260,11.169,11.150,11.185,11.093,8.819,0.708,0.311,0.091,0.402
254,EPIC 201629650,2MASS J11203732+0230097,EPIC 201629650.01,K2-13 b,CONFIRMED,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,CONFIRMED,,1,0,11h20m37.33s,170.155533,+02d30m09.7s,2.502696,39.91488000,2456812.525000,,,,,79.690000,,1.890,0.169,511,7.800000e-04,,290.00,5698.00,,-0.540,[Fe/H],0.78,,12.727,13.609,12.901,,13.193,12.727,12.528,,11.571,11.260,11.169,11.150,11.185,11.093,8.819,0.708,0.311,0.091,0.402
255,EPIC 201629650,2MASS J11203732+0230097,EPIC 201629650.01,K2-13 b,CANDIDATE,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h20m37.33s,170.155533,+02d30m09.7s,2.502696,40.06030000,2456812.525900,,0.2642000,,,,0.02260,2.700,0.241,,3.600000e-05,,,5727.00,4.33,,,1.09,,12.727,13.609,12.901,,13.193,12.727,12.528,,11.571,11.260,11.169,11.150,11.185,11.093,8.819,0.708,0.311,0.091,0.402
256,EPIC 201631267,2MASS J11344716+0231376,EPIC 201631267.01,,CANDIDATE,<a refstr=OSBORN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.457.2273O/abstract target=ref>Osborn et al. 2016</a>,CANDIDATE,,1,1,11h34m47.15s,173.696472,+02d31m37.4s,2.527056,440.00000000,2456829.674000,,,1.0500,,,0.17600,16.300,1.450,,9.999650e-01,,,4600.00,,,,0.85,,12.780,14.009,13.044,,13.463,12.743,12.488,,11.305,10.846,10.734,10.677,10.751,10.495,8.772,0.965,0.459,0.112,0.571
257,EPIC 201635132,2MASS J11203190+0235131,EPIC 201635132.01,,CANDIDATE,<a refstr=OSBORN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.457.2273O/abstract target=ref>Osborn et al. 2016</a>,CANDIDATE,,1,1,11h20m31.91s,170.132950,+02d35m13.2s,2.587000,30.00000000,2456826.985000,,,0.9700,,,0.24000,22.800,2.030,,9.999960e-01,,,3400.00,,,,0.89,,15.143,17.258,15.840,,16.603,15.191,14.517,,12.907,12.229,12.111,11.958,11.906,11.537,9.000,1.418,0.678,0.118,0.796
258,EPIC 201635132,2MASS J11203190+0235131,EPIC 201635132.02,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,11h20m31.91s,170.132950,+02d35m13.2s,2.587000,,2456826.985240,3.177000,0.2150000,,,,0.38000,24.900,,,,,,,,,,0.60,,15.143,17.258,15.840,,16.603,15.191,14.517,,12.907,12.229,12.111,11.958,11.906,11.537,9.000,1.418,0.678,0.118,0.796
259,EPIC 201635569,2MASS J11521368+0235390,EPIC 201635569.01,K2-14 b,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,0,11h52m13.69s,178.057022,+02d35m39.3s,2.594245,8.36926000,2456811.445300,,0.0867000,,,,0.10660,4.480,0.400,,6.600000e-03,,,3866.00,4.89,,,0.39,,15.547,17.736,16.310,,17.074,15.642,14.893,,13.416,12.772,12.611,12.530,12.569,11.907,8.967,1.426,0.644,0.161,0.805
260,EPIC 201635569,2MASS J11521368+0235390,EPIC 201635569.01,K2-14 b,CANDIDATE,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017arXiv170307416D/abstract target=ref>Dressing et al. 2017</a>,CONFIRMED,,1,0,11h52m13.69s,178.057022,+02d35m39.3s,2.594245,8.36879000,2456811.447000,,,,88.200,23.050000,0.11100,7.520,0.671,,3.600000e-02,,,,,,,,,15.547,17.736,16.310,,17.074,15.642,14.893,,13.416,12.772,12.611,12.530,12.569,11.907,8.967,1.426,0.644,0.161,0.805
261,EPIC 201635569,2MASS J11521368+0235390,EPIC 201635569.01,K2-14 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,1,1,11h52m13.69s,178.057022,+02d35m39.3s,2.594245,8.36779000,2456811.452840,1.226000,0.0971000,,,23.800000,0.11020,8.510,,,,,,,,,,0.71,,15.547,17.736,16.310,,17.074,15.642,14.893,,13.416,12.772,12.611,12.530,12.569,11.907,8.967,1.426,0.644,0.161,0.805
262,EPIC 201635569,2MASS J11521368+0235390,EPIC 201635569.01,K2-14 b,CONFIRMED,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,CONFIRMED,,1,0,11h52m13.69s,178.057022,+02d35m39.3s,2.594245,8.36802000,2456811.451300,,,,,30.160000,,4.810,0.429,488,4.900000e-03,,219.00,3789.00,,-0.370,[Fe/H],0.45,,15.547,17.736,16.310,,17.074,15.642,14.893,,13.416,12.772,12.611,12.530,12.569,11.907,8.967,1.426,0.644,0.161,0.805
263,EPIC 201635569,2MASS J11521368+0235390,EPIC 201635569.01,K2-14 b,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,1,0,11h52m13.69s,178.057022,+02d35m39.3s,2.594245,8.36881680,2456811.447000,1.180000,0.1050000,0.8300,,,0.11420,6.650,0.593,,,,,3879.00,,,,0.56,,15.547,17.736,16.310,,17.074,15.642,14.893,,13.416,12.772,12.611,12.530,12.569,11.907,8.967,1.426,0.644,0.161,0.805
264,EPIC 201637175,2MASS J11175587+0237086,EPIC 201637175.01,K2-22 b,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,1,0,11h17m55.88s,169.482819,+02d37m08.7s,2.619070,0.38107852,2456810.358000,0.558000,0.0304167,0.5000,,,0.07119,4.610,0.411,,,,,3892.00,,,,0.57,,14.928,17.042,15.597,,16.401,15.020,14.296,,12.726,12.088,11.924,11.723,11.703,11.802,9.028,1.445,0.638,0.164,0.802
265,EPIC 201637175,2MASS J11175587+0237086,EPIC 201637175.01,K2-22 b,CANDIDATE,<a refstr=ADAMS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...47A/abstract target=ref>Adams et al. 2016</a>,CONFIRMED,,1,0,11h17m55.88s,169.482819,+02d37m08.7s,2.619070,0.38108700,2456867.139460,,,,83.000,4.200000,0.07310,4.310,0.385,,,,,3830.00,4.65,0.030,[Fe/H],0.54,,14.928,17.042,15.597,,16.401,15.020,14.296,,12.726,12.088,11.924,11.723,11.703,11.802,9.028,1.445,0.638,0.164,0.802
266,EPIC 201637175,2MASS J11175587+0237086,EPIC 201637175.01,K2-22 b,CANDIDATE,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017arXiv170307416D/abstract target=ref>Dressing et al. 2017</a>,CONFIRMED,,1,0,11h17m55.88s,169.482819,+02d37m08.7s,2.619070,0.38108000,2456867.139000,,,,77.250,3.190000,0.07600,4.810,0.429,,2.400000e-03,,,,,,,,,14.928,17.042,15.597,,16.401,15.020,14.296,,12.726,12.088,11.924,11.723,11.703,11.802,9.028,1.445,0.638,0.164,0.802
267,EPIC 201637175,2MASS J11175587+0237086,EPIC 201637175.01,K2-22 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,1,1,11h17m55.88s,169.482819,+02d37m08.7s,2.619070,0.38106540,2456810.355610,0.624000,0.0244000,,,4.510000,0.07740,5.400,,,,,,,,,,0.64,,14.928,17.042,15.597,,16.401,15.020,14.296,,12.726,12.088,11.924,11.723,11.703,11.802,9.028,1.445,0.638,0.164,0.802
268,EPIC 201637175,2MASS J11175587+0237086,EPIC 201637175.01,K2-22 b,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,0,11h17m55.88s,169.482819,+02d37m08.7s,2.619070,1.14320100,2456809.216780,,0.0271200,,,,0.07100,3.000,0.268,,1.500000e-01,,,3865.00,4.89,,,0.38,,14.928,17.042,15.597,,16.401,15.020,14.296,,12.726,12.088,11.924,11.723,11.703,11.802,9.028,1.445,0.638,0.164,0.802
269,EPIC 201647718,2MASS J11141982+0246508,EPIC 201647718.01,K2-47 b,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,0,11h14m19.82s,168.582596,+02d46m50.6s,2.780711,31.63720000,2456825.703000,,0.1667000,,,,0.02290,1.890,0.169,,6.400000e-04,,,5054.00,4.54,,,0.76,,13.771,14.980,14.085,,14.485,13.779,13.464,,12.295,11.856,11.735,11.700,11.759,11.742,8.902,0.895,0.439,0.121,0.560
270,EPIC 201647718,2MASS J11141982+0246508,EPIC 201647718.01,K2-47 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,1,1,11h14m19.82s,168.582596,+02d46m50.6s,2.780711,31.65510000,2456825.689200,0.099900,0.1930000,,,46.800000,0.02930,2.480,,,,,,,,,,0.77,,13.771,14.980,14.085,,14.485,13.779,13.464,,12.295,11.856,11.735,11.700,11.759,11.742,8.902,0.895,0.439,0.121,0.560
271,EPIC 201647718,2MASS J11141982+0246508,EPIC 201647718.01,K2-47 b,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,1,0,11h14m19.82s,168.582596,+02d46m50.6s,2.780711,31.64630600,2456825.694000,0.100000,0.2054167,0.1200,,,0.02791,2.530,0.226,,,,,4810.00,,,,0.73,,13.771,14.980,14.085,,14.485,13.779,13.464,,12.295,11.856,11.735,11.700,11.759,11.742,8.902,0.895,0.439,0.121,0.560
272,EPIC 201649426,2MASS J11485622+0248275,EPIC 201649426.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,11h48m56.22s,177.234268,+02d48m27.4s,2.807619,27.77038800,2456821.348000,10.600000,0.1308333,0.7700,,,0.37220,25.100,2.239,,,,,4598.00,,,,0.71,,13.223,14.575,13.529,,14.062,13.185,12.864,,11.566,11.073,10.941,10.879,10.906,10.855,8.928,1.046,0.493,0.132,0.625
273,EPIC 201649426,2MASS J11485622+0248275,EPIC 201649426.01,,FALSE POSITIVE,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,FALSE POSITIVE,,1,0,11h48m56.22s,177.234268,+02d48m27.4s,2.807619,27.77045000,2456821.348200,,,,,59.260000,,32.790,2.925,441,1.000000e+00,,2537.00,5086.00,,-0.170,[Fe/H],8.15,,13.223,14.575,13.529,,14.062,13.185,12.864,,11.566,11.073,10.941,10.879,10.906,10.855,8.928,1.046,0.493,0.132,0.625
274,EPIC 201650711,2MASS J11281055+0249370,EPIC 201650711.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,0,11h28m10.57s,172.044052,+02d49m36.8s,2.826891,0.25967056,2456810.441000,0.013200,0.0208333,0.1100,,,0.01095,0.742,0.066,,,,,3982.00,,,,0.59,,12.254,14.215,12.814,,13.612,12.248,11.672,,10.188,9.581,9.309,9.157,9.163,9.065,8.365,1.401,0.607,0.272,0.879
275,EPIC 201650711,2MASS J11281055+0249370,EPIC 201650711.02,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,11h28m10.57s,172.044052,+02d49m36.8s,2.826891,5.54583000,2456814.894300,0.015200,0.0870000,,,17.400000,0.01190,0.441,,,,,,,,,,0.34,,12.254,14.215,12.814,,13.612,12.248,11.672,,10.188,9.581,9.309,9.157,9.163,9.065,8.365,1.401,0.607,0.272,0.879
276,EPIC 201650711,2MASS J11281055+0249370,EPIC 201650711.01,,CANDIDATE,<a refstr=ADAMS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...47A/abstract target=ref>Adams et al. 2016</a>,CANDIDATE,,1,1,11h28m10.57s,172.044052,+02d49m36.8s,2.826891,0.25966900,2456885.225820,,,,82.100,3.100000,0.01020,0.770,0.069,,,,,4340.00,4.25,-0.810,[Fe/H],0.69,,12.254,14.215,12.814,,13.612,12.248,11.672,,10.188,9.581,9.309,9.157,9.163,9.065,8.365,1.401,0.607,0.272,0.879
277,EPIC 201654498,2MASS J11260429+0253124,EPIC 201654498.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,11h26m04.28s,171.517853,+02d53m12.7s,2.886851,18.45020000,2456816.961000,0.085000,0.1550000,,,26.000000,0.03220,2.520,,,,,,,,,,0.72,,14.541,16.217,15.033,,15.738,14.558,14.027,,12.797,12.224,12.040,11.848,11.912,12.085,8.702,1.184,0.573,0.184,0.757
278,EPIC 201666578,2MASS J11482454+0305074,EPIC 201666578.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,11h48m24.53s,177.102203,+03d05m07.5s,3.085425,4.13330000,2456813.132600,0.112000,0.0710000,,,13.300000,0.03520,1.200,,,,,,,,,,0.31,,15.341,17.976,16.248,,17.125,15.721,14.577,,12.704,12.108,11.912,,,,,1.728,0.596,0.196,0.792
279,EPIC 201677835,2MASS J11442963+0316205,EPIC 201677835.01,K2-48 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,1,1,11h44m29.65s,176.123550,+03d16m20.7s,3.272425,20.51070000,2456817.477200,0.110400,0.1410000,,,42.000000,0.03090,2.230,,,,,,,,,,0.66,,14.019,15.288,14.277,,14.788,13.902,13.689,,12.430,11.903,11.838,11.742,11.815,11.148,8.318,1.011,0.527,0.065,0.592
280,EPIC 201677835,2MASS J11442963+0316205,EPIC 201677835.01,K2-48 b,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,0,11h44m29.65s,176.123550,+03d16m20.7s,3.272425,20.50650000,2456817.485900,,0.1254000,,,,0.02800,2.240,0.200,,4.800000e-03,,,4899.00,4.60,,,0.73,,14.019,15.288,14.277,,14.788,13.902,13.689,,12.430,11.903,11.838,11.742,11.815,11.148,8.318,1.011,0.527,0.065,0.592
